title,Production_Budget,id,runtime,Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Mystery,Romance,Science_Fiction,TV_Movie,Thriller,War,Western,prod_company_1,prod_company_2,prod_company_3,tagline_wordcount,synopsis_wordcount,release_month,release_day,cast_1,cast_2,cast_3,cast_4,cast_5,casting,composer,director,producer,screenplay,keyword_1,keyword_2,keyword_3,target
Edge of Tomorrow,178000000,137113,113.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,RatPac-Dune Entertainment,Village Roadshow Pictures,Viz Media,3,71,5,27,Tom Cruise,Emily Blunt,Brendan Gleeson,Bill Paxton,Jonas Armstrong,Lucinda Syson,Christophe Beck,Doug Liman,Erwin Stoff,Christopher McQuarrie,deja vu,time warp,restart,1
Up,175000000,14160,96.0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Pixar,,,1,49,5,28,Ed Asner,Jordan Nagai,Christopher Plummer,Bob Peterson,Delroy Lindo,Kevin Reher,,Pete Docter,Jonas Rivera,Bob Peterson,age difference,central and south america,balloon,1
Cars 3,175000000,260514,102.0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pixar,,,6,75,6,15,Owen Wilson,Cristela Alonzo,Chris Cooper,Nathan Fillion,Larry the Cable Guy,Kevin Reher,Randy Newman,Brian Fee,Kevin Reher,Bob Peterson,cgi,anthropomorphism,,1
G.I. Joe: The Rise of Cobra,175000000,14869,118.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Paramount,Spyglass Entertainment,Di Bonaventura Pictures,6,50,8,4,Dennis Quaid,Channing Tatum,Marlon Wayans,Sienna Miller,Joseph Gordon-Levitt,Ronna Kress,Alan Silvestri,Stephen Sommers,Lorenzo Di Bonaventura,Stuart Beattie,terrorist,secret,hostage,1
The Mummy: Tomb of the Dragon Emperor,175000000,1735,112.0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Universal Pictures,China Film Co-Production Corporation,Relativity Media,4,51,7,1,Brendan Fraser,Jet Li,John Hannah,Maria Bello,Luke Ford,Ronna Kress,,Rob Cohen,Stephen Sommers,Miles Millar,,,,1
Evan Almighty,175000000,2698,96.0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,Playtone,Universal Pictures,Spyglass Entertainment,5,36,6,9,Steve Carell,Morgan Freeman,Lauren Graham,Johnny Simmons,Graham Phillips,Deborah Aquila,,Tom Shadyac,Tom Shadyac,Steve Oedekerk,father son relationship,daily life,married couple,0
King Arthur: Legend of the Sword,175000000,274857,126.0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,Village Roadshow Pictures,Weed Road Pictures,Wigram Productions,5,69,5,10,Charlie Hunnam,Astrid Bergès-Frisbey,Jude Law,Djimon Hounsou,Eric Bana,Reg Poerscout-Edgerton,Daniel Pemberton,Guy Ritchie,Guy Ritchie,Guy Ritchie,sword,king arthur,period drama,0
47 Ronin,175000000,64686,119.0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Mid Atlantic Films,Stuber Productions,Moving Picture Company,6,52,12,6,Keanu Reeves,Hiroyuki Sanada,Kou Shibasaki,Tadanobu Asano,Min Tanaka,Denise Chamian,,Carl Rinsch,Eric McLeod,Chris Morgan,japan,suicide,samurai,0
Guardians of the Galaxy,170000000,118340,121.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Marvel Studios,,,4,28,7,30,Chris Pratt,Zoe Saldana,Dave Bautista,Vin Diesel,Bradley Cooper,Sarah Finn,Tyler Bates,James Gunn,Kevin Feige,,marvel comic,spaceship,space,1
Iron Man 2,170000000,10138,124.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Marvel Studios,,,12,63,4,28,Robert Downey Jr.,Gwyneth Paltrow,Don Cheadle,Scarlett Johansson,Sam Rockwell,Sarah Finn,,Jon Favreau,Kevin Feige,Justin Theroux,malibu,marvel comic,superhero,1
Captain America: The Winter Soldier,170000000,100402,136.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Marvel Studios,,,4,118,3,20,Chris Evans,Samuel L. Jackson,Scarlett Johansson,Robert Redford,Sebastian Stan,Sarah Finn,Henry Jackman,Anthony Russo,Kevin Feige,Christopher Markus,washington d.c.,future,shield,1
Dawn of the Planet of the Apes,170000000,119450,130.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,TSG Entertainment,Chernin Entertainment,Ingenious Media,5,34,6,26,Andy Serkis,Jason Clarke,Gary Oldman,Keri Russell,Toby Kebbell,Debra Zane,Michael Giacchino,Matt Reeves,Rick Jaffa,,leader,colony,post-apocalyptic,1
The Polar Express,170000000,5255,100.0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Golden Mean,Playtone,ImageMovers,4,35,11,10,Tom Hanks,Michael Jeter,Nona Gaye,Peter Scolari,Eddie Deezen,Victoria Burrows,Alan Silvestri,Robert Zemeckis,Robert Zemeckis,Robert Zemeckis,santa claus,nerd,faith,1
Snow White and the Huntsman,170000000,58595,127.0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,Universal Pictures,Roth Films,,4,73,5,30,Kristen Stewart,Chris Hemsworth,Charlize Theron,Sam Claflin,Ian McShane,Lucy Bevan,James Newton Howard,Rupert Sanders,Sam Mercer,John Lee Hancock,queen,magic,fairy tale,1
Terminator 3: Rise of the Machines,170000000,296,109.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,Columbia Pictures,Intermedia Films,C-2 Pictures,4,61,7,2,Arnold Schwarzenegger,Nick Stahl,Claire Danes,Kristanna Loken,David Andrews,Sarah Finn,Marco Beltrami,Jonathan Mostow,Mario Kassar,John D. Brancato,saving the world,artificial intelligence,man vs machine,1
Van Helsing,170000000,7131,132.0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Universal Pictures,Stillking Films,"Sommers Company, The",6,47,5,5,Hugh Jackman,Kate Beckinsale,Richard Roxburgh,David Wenham,Shuler Hensley,Ellen Lewis,Alan Silvestri,Stephen Sommers,Stephen Sommers,,transylvania,vatican,vampire,1
Tomorrowland,170000000,158852,130.0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,Babieka,Walt Disney Pictures,A113,7,47,5,19,Britt Robertson,George Clooney,Raffey Cassidy,Thomas Robinson,Hugh Laurie,April Webster,Michael Giacchino,Brad Bird,Brad Bird,Brad Bird,inventor,apocalypse,destiny,1
Shrek Forever After,165000000,10192,93.0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,DreamWorks Animation,Paramount,,6,57,5,16,Mike Myers,Eddie Murphy,Cameron Diaz,Antonio Banderas,Julie Andrews,Leslee Feldman,Harry Gregson-Williams,Mike Mitchell,Teresa Cheng,,ogre,3d,,1
Doctor Strange,165000000,14830,76.0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Marvel Animation,MLG Productions 4,,5,27,8,14,Bryce Johnson,Paul Nakauchi,Kevin Michael Richardson,Michael Yama,Susan Spano,,Guy Michelmore,Dick Sebast,Avi Arad,Greg Johnson,tibet,marvel comic,based on comic,1
Big Hero 6,165000000,177572,102.0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Walt Disney Animation Studios,Walt Disney Pictures,,1,29,10,24,Scott Adsit,Ryan Potter,Daniel Henney,T.J. Miller,Jamie Chung,Jamie Sparer Roberts,Henry Jackman,Don Hall,Roy Conli,Daniel Gerson,brother brother relationship,hero,talent,1
How to Train Your Dragon,165000000,10191,100.0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,DreamWorks Animation,Paramount,,6,67,3,10,Jay Baruchel,Gerard Butler,Craig Ferguson,America Ferrera,Jonah Hill,Leslee Feldman,John Powell,Chris Sanders,Bonnie Arnold,Chris Sanders,flying,blacksmith,arena,1
Wreck-It Ralph,165000000,82690,101.0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Walt Disney Animation Studios,,,12,114,11,1,John C. Reilly,Sarah Silverman,Jack McBrayer,Jane Lynch,Alan Tudyk,Jamie Sparer Roberts,Henry Jackman,Rich Moore,Clark Spencer,Phil Johnston,support group,product placement,bullying,1
Interstellar,165000000,157336,169.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,Legendary Entertainment,Syncopy,Lynda Obst Productions,12,35,11,5,Matthew McConaughey,Jessica Chastain,Anne Hathaway,Michael Caine,Casey Affleck,John Papsidera,Hans Zimmer,Christopher Nolan,Christopher Nolan,,saving the world,artificial intelligence,father son relationship,1
Independence Day: Resurgence,165000000,47933,120.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Centropolis Entertainment,Stereo D,TSG Entertainment,9,58,6,22,Liam Hemsworth,Jeff Goldblum,Bill Pullman,Maika Monroe,Sela Ward,John Papsidera,Harald Kloser,Roland Emmerich,Harald Kloser,Roland Emmerich,alternate history,alien invasion,,1
Shrek the Third,160000000,810,93.0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,DreamWorks Animation,Pacific Data Images,Paramount,4,56,5,17,Mike Myers,Eddie Murphy,Cameron Diaz,Julie Andrews,Antonio Banderas,,Harry Gregson-Williams,Chris Miller,Aron Warner,Jeffrey Price,ambush,sadness,stage,1
Inception,160000000,27205,148.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Legendary Entertainment,Syncopy,Warner Bros. Pictures,8,44,7,15,Leonardo DiCaprio,Joseph Gordon-Levitt,Ellen Page,Tom Hardy,Ken Watanabe,John Papsidera,Hans Zimmer,Christopher Nolan,Christopher Nolan,,loss of lover,dream,kidnapping,1
The Hunger Games: Mockingjay - Part 2,160000000,131634,137.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Studio Babelsberg,Lionsgate,Color Force,5,89,11,18,Jennifer Lawrence,Josh Hutcherson,Liam Hemsworth,Woody Harrelson,Elizabeth Banks,Debra Zane,James Newton Howard,Francis Lawrence,Jon Kilik,Danny Strong,revolution,strong woman,dystopia,1
X-Men: First Class,160000000,49538,132.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Ingenious Media,The Donners' Company,Dune Entertainment,8,53,6,1,James McAvoy,Michael Fassbender,Jennifer Lawrence,Kevin Bacon,Rose Byrne,Lucinda Syson,,Matthew Vaughn,Lauren Shuler Donner,,cia,mutant,mine,1
The Curious Case of Benjamin Button,160000000,4922,166.0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,Paramount,Warner Bros. Pictures,The Kennedy/Marshall Company,8,85,12,25,Cate Blanchett,Brad Pitt,Tilda Swinton,Julia Ormond,Elle Fanning,Laray Mayfield,Alexandre Desplat,David Fincher,Kathleen Kennedy,Eric Roth,diary,navy,funeral,1
The Sorcerer's Apprentice,160000000,27022,109.0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Junction Entertainment,Walt Disney Pictures,Jerry Bruckheimer Films,5,69,7,13,Nicolas Cage,Jay Baruchel,Monica Bellucci,Alfred Molina,Teresa Palmer,,Trevor Rabin,Jon Turteltaub,,Doug Miro,witch,fire,wolf,1
Poseidon,160000000,503,99.0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Virtual Studios,Radiant Productions,Next Entertainment,1,26,5,12,Kurt Russell,Richard Dreyfuss,Josh Lucas,Jacinda Barrett,Emmy Rossum,Janet Hirshenson,Klaus Badelt,Wolfgang Petersen,Todd Arnow,Mark Protosevich,new year's eve,fire,drowning,1
Warcraft,160000000,68735,123.0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Legendary Entertainment,Universal Pictures,Atlas Entertainment,4,71,5,25,Paula Patton,Travis Fimmel,Ben Foster,Robert Kazinsky,Dominic Cooper,Mary Vernieu,Ramin Djawadi,Duncan Jones,Charles Roven,Charles Leavitt,video game,elves,orcs,1
Deepwater Horizon,156000000,296524,107.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,TIK Film,Summit Entertainment,Participant Media,11,24,9,29,Mark Wahlberg,Kurt Russell,John Malkovich,Gina Rodriguez,Dylan O'Brien,Deborah Aquila,Steve Jablonsky,Peter Berg,Lorenzo Di Bonaventura,Matthew Michael Carnahan,post traumatic stress  disorder,sea,based on true story,0
Alexander,155000000,1966,175.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,WR Universal Group,France 3 Cinéma,Intermedia Films,7,39,11,21,Colin Farrell,Angelina Jolie,Val Kilmer,Jared Leto,Jonathan Rhys Meyers,Suzanne Smith,Vangelis,Oliver Stone,Iain Smith,Oliver Stone,aristotle,egypt,greece,1
War for the Planet of the Apes,152000000,281338,140.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,TSG Entertainment,Chernin Entertainment,20th Century Fox,7,79,7,11,Andy Serkis,Woody Harrelson,Steve Zahn,Karin Konoval,Terry Notary,Debra Zane,Michael Giacchino,Matt Reeves,Rick Jaffa,Mark Bomback,based on novel,sequel,talking animal,1
Pearl Harbor,151500000,676,183.0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,Jerry Bruckheimer Films,Touchstone Pictures,,13,62,5,21,Ben Affleck,Josh Hartnett,Kate Beckinsale,Cuba Gooding Jr.,Jon Voight,Bonnie Timmermann,Hans Zimmer,Michael Bay,Jerry Bruckheimer,Randall Wallace,nurse,patriotism,hawaii,1
Transformers,151000000,1858,144.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Hasbro Studios,Paramount,Amblin Entertainment,4,42,6,27,Shia LaBeouf,Josh Duhamel,Megan Fox,Rachael Taylor,Tyrese Gibson,Janet Hirshenson,,Michael Bay,Don Murphy,Alex Kurtzman,destroy,transformation,alien,1
Wonder Woman,150000000,15359,74.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DC Comics,Warner Bros. Animation,DC Entertainment,6,51,3,3,Keri Russell,Nathan Fillion,Alfred Molina,Rosario Dawson,Virginia Madsen,,,Lauren Montgomery,,Michael Jelenic,dc comics,based on comic,super powers,1
Zootopia,150000000,269149,109.0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Walt Disney Animation Studios,Walt Disney Pictures,,5,38,2,11,Ginnifer Goodwin,Jason Bateman,Idris Elba,Jenny Slate,Nate Torrence,Jamie Sparer Roberts,Michael Giacchino,Byron Howard,Clark Spencer,Phil Johnston,fox,prejudice,conspiracy,1
Zootopia,150000000,269149,109.0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Walt Disney Animation Studios,Walt Disney Pictures,,5,38,2,11,Ginnifer Goodwin,Jason Bateman,Idris Elba,Jenny Slate,Nate Torrence,Jamie Sparer Roberts,Michael Giacchino,Byron Howard,Clark Spencer,Phil Johnston,fox,prejudice,conspiracy,1
Harry Potter and the Order of the Phoenix,150000000,675,138.0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,Warner Bros. Pictures,Heyday Films,,4,55,6,28,Daniel Radcliffe,Rupert Grint,Emma Watson,Michael Gambon,Ralph Fiennes,Fiona Weir,Nicholas Hooper,David Yates,David Heyman,Michael Goldenberg,prophecy,witch,loss of lover,1
Harry Potter and the Goblet of Fire,150000000,674,157.0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,Patalex IV Productions Limited,Warner Bros. Pictures,Heyday Films,6,43,11,16,Daniel Radcliffe,Rupert Grint,Emma Watson,Ralph Fiennes,Michael Gambon,Mary Selway,Patrick Doyle,Mike Newell,David Heyman,Steve Kloves,magic,dying and death,broom,1
The Matrix Reloaded,150000000,604,138.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Heineken Branded Entertainment,Village Roadshow Pictures,Silver Pictures,3,161,5,15,Keanu Reeves,Carrie-Anne Moss,Laurence Fishburne,Hugo Weaving,Helmut Bakaitis,Mali Finn,Don Davis,Lilly Wachowski,Joel Silver,Lilly Wachowski,saving the world,artificial intelligence,man vs machine,1
Hancock,150000000,8960,92.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,GH Three,Columbia Pictures,Relativity Media,6,63,7,1,Will Smith,Charlize Theron,Jason Bateman,Jae Head,Eddie Marsan,Denise Chamian,John Powell,Peter Berg,Michael Mann,Vincent Ngo,flying,alcohol,love of one's life,1
Charlie and the Chocolate Factory,150000000,118,115.0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Village Roadshow Pictures,The Zanuck Company,Tim Burton Productions,6,23,7,13,Freddie Highmore,Johnny Depp,David Kelly,Helena Bonham Carter,Noah Taylor,Susie Figgis,Danny Elfman,Tim Burton,Richard D. Zanuck,Roald Dahl,london england,father son relationship,chocolate,1
Ratatouille,150000000,2062,111.0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Pixar,Walt Disney Pictures,,6,98,6,22,Patton Oswalt,Ian Holm,Lou Romano,Brian Dennehy,Peter Sohn,Kevin Reher,Michael Giacchino,Brad Bird,Brad Lewis,Brad Bird,paris,brother brother relationship,expensive restaurant,1
Thor: The Dark World,150000000,76338,112.0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Marvel Studios,,,4,65,10,29,Chris Hemsworth,Natalie Portman,Tom Hiddleston,Anthony Hopkins,Christopher Eccleston,Priscilla John,Brian Tyler,Alan Taylor,Kevin Feige,Christopher Markus,marvel comic,superhero,based on comic,1
Batman Begins,150000000,272,140.0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,DC Comics,Legendary Entertainment,DC Entertainment,4,45,6,10,Christian Bale,Michael Caine,Liam Neeson,Katie Holmes,Gary Oldman,Lucinda Syson,Hans Zimmer,Christopher Nolan,Larry J. Franco,Christopher Nolan,himalaya,martial arts,dc comics,1
Thor,150000000,10195,115.0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Marvel Studios,,,4,64,4,21,Chris Hemsworth,Natalie Portman,Tom Hiddleston,Anthony Hopkins,Stellan Skarsgård,Sarah Finn,Patrick Doyle,Kenneth Branagh,Kevin Feige,Don Payne,new mexico,banishment,shield,1
Madagascar: Escape 2 Africa,150000000,10527,89.0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,DreamWorks Animation,Pacific Data Images,,4,71,10,30,Ben Stiller,Jada Pinkett Smith,David Schwimmer,Chris Rock,Cedric the Entertainer,Leslee Feldman,Hans Zimmer,Eric Darnell,Mireille Soria,,africa,jealousy,dance,1
X-Men Origins: Wolverine,150000000,2080,107.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Marvel Entertainment,The Donners' Company,Dune Entertainment,3,27,4,28,Hugh Jackman,Liev Schreiber,Danny Huston,Lynn Collins,Ryan Reynolds,,,Gavin Hood,Hugh Jackman,David Benioff,corruption,mutant,boxer,1
Night at the Museum: Battle of the Smithsonian,150000000,18360,105.0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,21 Laps Entertainment,1492 Pictures,Dune Entertainment,9,45,5,20,Ben Stiller,Amy Adams,Owen Wilson,Hank Azaria,Robin Williams,,,Shawn Levy,Chris Columbus,Thomas Lennon,museum,theodore roosevelt,duringcreditsstinger,1
Kung Fu Panda 2,150000000,49444,91.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,DreamWorks Animation,,,6,123,5,25,Jack Black,Angelina Jolie,Dustin Hoffman,Gary Oldman,Jackie Chan,,Hans Zimmer,Jennifer Yuh Nelson,Melissa Cobb,Glenn Berger,martial arts,hope,fleet,1
Mad Max: Fury Road,150000000,76341,121.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Village Roadshow Pictures,Kennedy Miller Productions,Warner Bros. Pictures,4,48,5,13,Tom Hardy,Charlize Theron,Nicholas Hoult,Hugh Keays-Byrne,Josh Helman,Ronna Kress,,George Miller,George Miller,,future,chase,post-apocalyptic,1
The Matrix Revolutions,150000000,605,129.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Silver Pictures,Village Roadshow Pictures,NPV Entertainment,8,31,11,3,Keanu Reeves,Laurence Fishburne,Carrie-Anne Moss,Hugo Weaving,Mary Alice,Mali Finn,Don Davis,Lilly Wachowski,Joel Silver,Lilly Wachowski,saving the world,artificial intelligence,man vs machine,1
Chicken Little,150000000,9982,81.0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Walt Disney Pictures,Walt Disney Animation Studios,,14,51,11,4,Zach Braff,Joan Cusack,Steve Zahn,Garry Marshall,Amy Sedaris,Mary Hidalgo,John Debney,Mark Dindal,Randy Fullmer,Steve Bencich,fish,small town,space marine,1
Mission: Impossible III,150000000,956,126.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Studio Babelsberg,Paramount,Cruise/Wagner Productions,4,40,5,3,Tom Cruise,Philip Seymour Hoffman,Ving Rhames,Billy Crudup,Michelle Monaghan,April Webster,Michael Giacchino,J.J. Abrams,Tom Cruise,,berlin,cia,vatican,1
Angels & Demons,150000000,13448,138.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,Columbia Pictures,Imagine Entertainment,Skylark Productions,10,35,5,13,Tom Hanks,Ewan McGregor,Ayelet Zurer,Stellan Skarsgård,Pierfrancesco Favino,Janet Hirshenson,Hans Zimmer,Ron Howard,Brian Grazer,David Koepp,rome,vatican,based on novel,1
Troy,150000000,652,163.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Radiant Productions,Helena Productions,Latina Pictures,10,95,5,3,Brad Pitt,Orlando Bloom,Eric Bana,Brian Cox,Sean Bean,Lucinda Syson,James Horner,Wolfgang Petersen,Colin Wilson,David Benioff,brother brother relationship,adultery,mythology,1
The Last Airbender,150000000,10196,103.0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Paramount,Nickelodeon Movies,Blinding Edge Pictures,4,36,6,30,Noah Ringer,Nicola Peltz,Jackson Rathbone,Dev Patel,Shaun Toub,,James Newton Howard,M. Night Shyamalan,,,fire,ice,war ship,1
Bee Movie,150000000,5559,91.0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Columbus 81 Productions,DreamWorks Animation,,4,55,10,28,Jerry Seinfeld,Renée Zellweger,Jim Cummings,Matthew Broderick,Patrick Warburton,,,Steve Hickner,Christina Steinberg,Jerry Seinfeld,factory worker,tennis,flower,1
G-Force,150000000,19585,88.0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Walt Disney Pictures,Jerry Bruckheimer Films,Whamaphram Productions,5,64,7,21,Sam Rockwell,Penélope Cruz,Tracy Morgan,Jon Favreau,Steve Buscemi,,,Hoyt Yeatman,,Ted Elliott,dyr,duringcreditsstinger,,1
Bolt,150000000,13053,98.0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Walt Disney Animation Studios,,,6,47,1,29,John Travolta,Miley Cyrus,Susie Essman,Mark Walton,Malcolm McDowell,Curtis A. Koller,John Powell,Chris Williams,Clark Spencer,Dan Fogelman,hamster,kids and family,animal,1
Wrath of the Titans,150000000,57165,99.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Thunder Road Pictures,Legendary Entertainment,Cott Productions,3,77,3,27,Sam Worthington,Liam Neeson,Ralph Fiennes,Edgar Ramírez,Toby Kebbell,Jina Jay,Javier Navarrete,Jonathan Liebesman,Basil Iwanyk,David Leslie Johnson-McGoldrick,underworld,hades,mythology,1
Beowulf,150000000,2310,115.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Paramount,Shangri-La Entertainment,ImageMovers,3,15,11,5,Ray Winstone,Angelina Jolie,Anthony Hopkins,Robin Wright,John Malkovich,Ronna Kress,Alan Silvestri,Robert Zemeckis,Robert Zemeckis,Roger Avary,denmark,nordic mythology,lie,1
Dark Shadows,150000000,62213,113.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Tim Burton Productions,Infinitum Nihil,GK Films,5,35,5,8,Johnny Depp,Michelle Pfeiffer,Helena Bonham Carter,Jackie Earle Haley,Jonny Lee Miller,Susie Figgis,Danny Elfman,Tim Burton,Johnny Depp,Seth Grahame-Smith,witch,imprisonment,vampire,1
White House Down,150000000,117251,131.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,Iron Horse Entertainment,Columbia Pictures,Mythology Entertainment,7,77,6,27,Channing Tatum,Jamie Foxx,Joey King,Maggie Gyllenhaal,Richard Jenkins,John Papsidera,Harald Kloser,Roland Emmerich,Larry J. Franco,,usa president,conspiracy,secret service,1
The Wolfman,150000000,7978,102.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Stuber Productions,Universal Pictures,Relativity Media,10,36,2,11,Benicio del Toro,Anthony Hopkins,Emily Blunt,Hugo Weaving,Cristina Contes,Priscilla John,Danny Elfman,Joe Johnston,Benicio del Toro,Curt Siodmak,father son relationship,victorian england,remake,0
The Great Wall,150000000,311324,103.0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Legendary Entertainment,Legendary East,Universal Pictures,14,23,12,16,Matt Damon,Jing Tian,Willem Dafoe,Andy Lau,Pedro Pascal,Victoria Thomas,Ramin Djawadi,Zhang Yimou,Charles Roven,Tony Gilroy,china,monster,archer,1
Mars Needs Moms,150000000,50321,88.0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Walt Disney Pictures,,,5,20,3,9,Seth Green,Joan Cusack,Dan Fogler,Breckin Meyer,Elisabeth Harnois,,,Simon Wells,,Simon Wells,boy,alien,rescue,0
Flushed Away,149000000,11619,85.0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DreamWorks Animation,Aardman Animations,Paramount,3,44,10,22,Hugh Jackman,Kate Winslet,Ian McKellen,Jean Reno,Bill Nighy,Leslee Feldman,Harry Gregson-Williams,David Bowers,Peter Lord,Dick Clement,london england,underworld,return,1
Madagascar 3: Europe's Most Wanted,145000000,80321,93.0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,DreamWorks Animation,Pacific Data Images,,13,67,6,6,Ben Stiller,Sacha Baron Cohen,David Schwimmer,Frances McDormand,Chris Rock,Leslee Feldman,Hans Zimmer,Conrad Vernon,Mireille Soria,Noah Baumbach,madagascar,3d,,1
How to Train Your Dragon 2,145000000,82702,102.0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,DreamWorks Animation,20th Century Fox,,4,105,6,9,Jay Baruchel,Cate Blanchett,Gerard Butler,Craig Ferguson,America Ferrera,Leslee Feldman,John Powell,Dean DeBlois,Bonnie Arnold,,father son relationship,wife husband relationship,sacrifice,1
