title,Production_Budget,id,runtime,Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Mystery,Romance,Science_Fiction,TV_Movie,Thriller,War,Western,prod_company_1,prod_company_2,prod_company_3,tagline_wordcount,synopsis_wordcount,release_month,release_day,cast_1,cast_2,cast_3,cast_4,cast_5,casting,composer,director,producer,screenplay,keyword_1,keyword_2,keyword_3,target
Colombiana,40000000,62835,108.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,A.J.O.Z. Films,EuropaCorp,Grive Productions,3,61,7,27,Zoe Saldana,Cliff Curtis,Callum Blue,Michael Vartan,Lennie James,John Papsidera,Nathaniel Mechaly,Olivier Megaton,Luc Besson,Luc Besson,street gang,uncle,female assassin,1
Drillbit Taylor,40000000,8457,102.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Paramount,Apatow Productions,,6,29,3,20,Owen Wilson,Leslie Mann,Josh Peck,David Dorfman,Nate Hartley,,Christophe Beck,Steven Brill,Susan Arnold,Seth Rogen,prison,jealousy,homeless person,1
Transporter 3,40000000,13387,104.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Grive Productions,EuropaCorp,TF1 Films Production,9,55,11,26,Jason Statham,François Berléand,Natalya Rudakova,Robert Knepper,David Atrakchi,Swan Pham,,Olivier Megaton,,,,,,1
Get Rich or Die Tryin',40000000,10060,117.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Cent Productions Inc.,Paramount,MTV Films,11,19,11,9,50 Cent,Joy Bryant,Adewale Akinnuoye-Agbaje,Omar Benson Miller,Terrence Howard,Avy Kaufman,Quincy Jones,Jim Sheridan,Jimmy Iovine,,loss of mother,attempted murder,career,1
Grudge Match,40000000,64807,113.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Gerber Pictures,Warner Bros. Pictures,,3,23,12,25,Robert De Niro,Sylvester Stallone,Alan Arkin,Jon Bernthal,Kevin Hart,Roger Mussenden,Trevor Rabin,Peter Segal,Mark Steven Johnson,Rodney Rothman,father son relationship,sport,rivalry,1
Rent,40000000,1833,135.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1492 Pictures,Columbia Pictures,Revolution Studios,4,73,11,17,Anthony Rapp,Adam Pascal,Rosario Dawson,Jesse L. Martin,Wilson Jermaine Heredia,Bernard Telsey,,Chris Columbus,Robert De Niro,Stephen Chbosky,gay,sex,aids,0
The Musketeer,40000000,11370,104.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Crystal Sky Worldwide,MDP Worldwide,ApolloMedia Distribution,6,38,9,7,Justin Chambers,Tim Roth,Catherine Deneuve,Mena Suvari,Stephen Rea,Celestia Fox,David Arnold,Peter Hyams,Moshe Diamant,Gene Quintano,loss of family,queen,power,0
Resident Evil: The Final Chapter,40000000,173897,107.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,Screen Gems,Constantin Film,Davis Films,4,64,12,23,Milla Jovovich,Iain Glen,Ali Larter,Shawn Roberts,Eoin Macken,Suzanne Smith,Paul Haslinger,Paul W.S. Anderson,Paul W.S. Anderson,,helicopter,monster,underground,1
The Other Boleyn Girl,40000000,12184,115.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,Scott Rudin Productions,Columbia Pictures,Focus Features,9,46,2,28,Natalie Portman,Scarlett Johansson,Eric Bana,Jim Sturgess,Mark Rylance,Karen Lindsay-Stewart,Paul Cantelon,Justin Chadwick,Alison Owen,,england,sister sister relationship,queen,1
Sweet November,40000000,1921,119.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,Bel Air Entertainment,Warner Bros. Pictures,,11,75,2,16,Keanu Reeves,Charlize Theron,Jason Isaacs,Greg Germann,Lauren Graham,,Christopher Young,Pat O'Connor,Steven Reuther,Kurt Voelker,workaholic,dogsitter,,1
The Reaping,40000000,1683,99.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Dark Castle Entertainment,Chime Films,Eyetronics,4,74,4,5,Hilary Swank,David Morrissey,Idris Elba,AnnaSophia Robb,Stephen Rea,Lora Kennedy,John Frizzell,Stephen Hopkins,Robert Zemeckis,Carey Hayes,river,miracle,bible,1
Season of the Witch,40000000,23047,95.0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Atlas Entertainment,Relativity Media,,6,42,1,7,Nicolas Cage,Ron Perlman,Ulrich Thomsen,Christopher Lee,Fernanda Dorogi,Zsolt Csutak,Atli Örvarsson,Dominic Sena,Charles Roven,,inquisition,monk,ambush,1
Mechanic: Resurrection,40000000,278924,99.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Davis-Films,ME2 Productions,Millennium Films,12,46,8,25,Jason Statham,Jessica Alba,Tommy Lee Jones,Michelle Yeoh,Natalie Burn,Marianne Stanicheva,,Dennis Gansel,William Chartoff,Brian Pittman,assassin,sequel,murder,1
Torque,40000000,10718,84.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Original Film,Village Roadshow Pictures,Warner Bros. Pictures,3,61,1,16,Martin Henderson,Ice Cube,Monet Mazur,Adam Scott,Matt Schulze,Sarah Finn,Trevor Rabin,Joseph Kahn,Neal H. Moritz,Matt Johnson,ex-girlfriend,drug dealer,gang,1
