title,Production_Budget,Domestic_Gross,Worldwide_Gross,id,poster_path,release_date,runtime,tagline,Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Mystery,Romance,Science_Fiction,TV_Movie,Thriller,War,Western,prod_company_1,prod_company_2,prod_company_3,overview,tagline_wordcount,synopsis_wordcount,release_year,release_month,release_day,cast_1,cast_2,cast_3,cast_4,cast_5,casting,composer,director,producer,screenplay,keyword_1,keyword_2,keyword_3
Edge of Tomorrow,178000000,100206256,370541256,137113,/tpoVEYvm6qcXueZrQYJNRLXL88s.jpg,2014-05-27,113.0,"Live, Die, Repeat",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,RatPac-Dune Entertainment,Village Roadshow Pictures,Viz Media,"Major Bill Cage is an officer who has never seen a day of combat when he is unceremoniously demoted and dropped into combat. Cage is killed within minutes, managing to take an alpha alien down with him. He awakens back at the beginning of the same day and is forced to fight and die again... and again - as physical contact with the alien has thrown him into a time loop.",3,71,2014,5,27,Tom Cruise,Emily Blunt,Brendan Gleeson,Bill Paxton,Jonas Armstrong,Lucinda Syson,Christophe Beck,Doug Liman,Erwin Stoff,Christopher McQuarrie,killed within minutes,major bill cage,unceremoniously demoted
Captain Marvel,175000000,426829839,1126129839,299537,/AtsgWhDnHTq68L0lLsUrCnM7TjG.jpg,2019-03-06,124.0,Higher. Further. Faster.,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Marvel Studios,Walt Disney Pictures,Animal Logic,"The story follows Carol Danvers as she becomes one of the universe’s most powerful heroes when Earth is caught in the middle of a galactic war between two alien races. Set in the 1990s, Captain Marvel is an all-new adventure from a previously unseen period in the history of the Marvel Cinematic Universe.",3,53,2019,3,6,Brie Larson,Samuel L. Jackson,Ben Mendelsohn,Jude Law,Annette Bening,Sarah Finn,Pinar Toprak,Ryan Fleck,Kevin Feige,Ryan Fleck,story follows carol danvers,two alien races,previously unseen period
Spider-Man: Homecoming,175000000,334201140,880166350,315635,/c24sv2weTHPsmDa7jEMN0m2P3RT.jpg,2017-07-05,133.0,Homework can wait. The city can't.,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Marvel Studios,Columbia Pictures,Pascal Pictures,"Following the events of Captain America: Civil War, Peter Parker, with the help of his mentor Tony Stark, tries to balance his life as an ordinary high school student in Queens, New York City, with fighting crime as his superhero alter ego Spider-Man as a new threat, the Vulture, emerges.",6,50,2017,7,5,Tom Holland,Michael Keaton,Robert Downey Jr.,Marisa Tomei,Jon Favreau,Sarah Finn,Michael Giacchino,Jon Watts,Kevin Feige,,superhero alter ego spider,ordinary high school student,mentor tony stark
Up,175000000,293004164,731463377,14160,/nk11pvocdb5zbFhX5oq5YiLPYMo.jpg,2009-05-28,96.0,,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Pixar,,,"Carl Fredricksen spent his entire life dreaming of exploring the globe and experiencing life to its fullest. But at age 78, life seems to have passed him by, until a twist of fate (and a persistent 8-year old Wilderness Explorer named Russell) gives him a new lease on life.",1,49,2009,5,28,Ed Asner,Jordan Nagai,Christopher Plummer,Bob Peterson,Delroy Lindo,Kevin Reher,,Pete Docter,Jonas Rivera,Bob Peterson,year old wilderness explorer named russell,carl fredricksen spent,entire life dreaming
Coco,175000000,209726015,807126015,354912,/eKi8dIrr8voobbaGzDpe8w0PVbC.jpg,2017-10-27,105.0,The celebration of a lifetime,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Pixar,Walt Disney Pictures,,"Despite his family’s baffling generations-old ban on music, Miguel dreams of becoming an accomplished musician like his idol, Ernesto de la Cruz. Desperate to prove his talent, Miguel finds himself in the stunning and colorful Land of the Dead following a mysterious chain of events. Along the way, he meets charming trickster Hector, and together, they set off on an extraordinary journey to unlock the real story behind Miguel's family history.",5,71,2017,10,27,Anthony Gonzalez,Gael García Bernal,Benjamin Bratt,Alanna Ubach,Renée Victor,Carla Hool,Michael Giacchino,Lee Unkrich,Darla K. Anderson,Matthew Aldrich,meets charming trickster hector,ernesto de la cruz,real story behind miguel
Cars 3,175000000,152901115,383541369,260514,/fyy1nDC8wm553FCiBDojkJmKLCs.jpg,2017-06-15,102.0,It's not over until lightning strikes.,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pixar,,,"Blindsided by a new generation of blazing-fast racers, the legendary Lightning McQueen is suddenly pushed out of the sport he loves. To get back in the game, he will need the help of an eager young race technician with her own plan to win, inspiration from the late Fabulous Hudson Hornet, and a few unexpected turns. Proving that #95 isn't through yet will test the heart of a champion on Piston Cup Racing’s biggest stage!",6,75,2017,6,15,Owen Wilson,Cristela Alonzo,Chris Cooper,Nathan Fillion,Larry the Cable Guy,Kevin Reher,Randy Newman,Brian Fee,Kevin Reher,Bob Peterson,piston cup racing ’,late fabulous hudson hornet,eager young race technician
G.I. Joe: The Rise of Cobra,175000000,150201498,302469017,14869,/29eW5c5DaCFQejdt9V14RrA51yD.jpg,2009-08-04,118.0,"When all else fails, they don't.",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Paramount,Spyglass Entertainment,Di Bonaventura Pictures,"From the Egyptian desert to deep below the polar ice caps, the elite G.I. JOE team uses the latest in next-generation spy and military equipment to fight the corrupt arms dealer Destro and the growing threat of the mysterious Cobra organization to prevent them from plunging the world into chaos.",6,50,2009,8,4,Dennis Quaid,Channing Tatum,Marlon Wayans,Sienna Miller,Joseph Gordon-Levitt,Ronna Kress,Alan Silvestri,Stephen Sommers,Lorenzo Di Bonaventura,Stuart Beattie,corrupt arms dealer destro,polar ice caps,mysterious cobra organization
The Mummy: Tomb of the Dragon Emperor,175000000,102491776,405760225,1735,/53hrZvxiV3HgG6pdhuMeErIc7Hg.jpg,2008-07-01,112.0,A New Evil Awakens.,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Universal Pictures,China Film Co-Production Corporation,Relativity Media,"Archaeologist Rick O'Connell travels to China, pitting him against an emperor from the 2,000-year-old Han dynasty who's returned from the dead to pursue a quest for world domination. This time, O'Connell enlists the help of his wife and son to quash the so-called 'Dragon Emperor' and his abuse of supernatural power.",4,51,2008,7,1,Brendan Fraser,Jet Li,John Hannah,Maria Bello,Luke Ford,Ronna Kress,,Rob Cohen,Stephen Sommers,Miles Millar,old han dynasty,world domination,supernatural power
Evan Almighty,175000000,100289690,174131329,2698,/mtIjd19s4eOSkUm9P9iDVY35TsQ.jpg,2007-06-09,96.0,A comedy of biblical proportions,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,Playtone,Universal Pictures,Spyglass Entertainment,"Junior congressman Evan Baxter, whose wish is to ""change the world"" is heard by none other than God. When God appears with the perplexing request to build an ark, Evan is sure he is losing it.",5,36,2007,6,9,Steve Carell,Morgan Freeman,Lauren Graham,Johnny Simmons,Graham Phillips,Deborah Aquila,,Tom Shadyac,Tom Shadyac,Steve Oedekerk,junior congressman evan baxter,whose wish,perplexing request
King Arthur: Legend of the Sword,175000000,39175066,139630336,274857,/gvSWdJN7peehxJYOugV9IwqiAFi.jpg,2017-05-10,126.0,From nothing comes a King,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,Village Roadshow Pictures,Weed Road Pictures,Wigram Productions,"When the child Arthur’s father is murdered, Vortigern, Arthur’s uncle, seizes the crown. Robbed of his birthright and with no idea who he truly is, Arthur comes up the hard way in the back alleys of the city. But once he pulls the sword Excalibur from the stone, his life is turned upside down and he is forced to acknowledge his true legacy... whether he likes it or not.",5,69,2017,5,10,Charlie Hunnam,Astrid Bergès-Frisbey,Jude Law,Djimon Hounsou,Eric Bana,Reg Poerscout-Edgerton,Daniel Pemberton,Guy Ritchie,Guy Ritchie,Guy Ritchie,true legacy ... whether,child arthur ’,arthur ’
47 Ronin,175000000,38362475,151716815,64686,/pUH46wa0n4zXZytpriSaoNUXai4.jpg,2013-12-06,119.0,For courage. For loyalty. For honor.,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Mid Atlantic Films,Stuber Productions,Moving Picture Company,"Kai—an outcast—joins Oishi, the leader of 47 outcast samurai.  Together they seek vengeance upon the treacherous overlord who killed their master and banished their kind.  To restore honour to their homeland, the warriors embark upon a quest that challenges them with a series of trials that would destroy ordinary warriors.",6,52,2013,12,6,Keanu Reeves,Hiroyuki Sanada,Kou Shibasaki,Tadanobu Asano,Min Tanaka,Denise Chamian,,Carl Rinsch,Eric McLeod,Chris Morgan,would destroy ordinary warriors,outcast — joins oishi,warriors embark upon
Jurassic World: Fallen Kingdom,170000000,417719760,1305772799,351286,/c9XxwwhPHdaImA2f1WEfEsbhaFB.jpg,2018-06-06,129.0,The park is gone,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Amblin Entertainment,Legendary Entertainment,Universal Pictures,"Three years after the demise of Jurassic World, a volcanic eruption threatens the remaining dinosaurs on the isla Nublar, so Claire Dearing, the former park manager, recruits Owen Grady to help prevent the extinction of the dinosaurs once again.",4,39,2018,6,6,Chris Pratt,Bryce Dallas Howard,Rafe Spall,Justice Smith,Daniella Pineda,Nina Gold,Michael Giacchino,J. A. Bayona,Frank Marshall,,volcanic eruption threatens,recruits owen grady,former park manager
Guardians of the Galaxy,170000000,333172112,772772112,118340,/y31QB9kn3XSudA15tV7UWQ9XLuW.jpg,2014-07-30,121.0,All heroes start somewhere.,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Marvel Studios,,,"Light years from Earth, 26 years after being abducted, Peter Quill finds himself the prime target of a manhunt after discovering an orb wanted by Ronan the Accuser.",4,28,2014,7,30,Chris Pratt,Zoe Saldana,Dave Bautista,Vin Diesel,Bradley Cooper,Sarah Finn,Tyler Bates,James Gunn,Kevin Feige,,peter quill finds,prime target,orb wanted
Iron Man 2,170000000,312433331,621156389,10138,/1LoT5WsN4Lc1aR7A18ciSA1LoMy.jpg,2010-04-28,124.0,"It's not the armor that makes the hero, but the man inside.",1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Marvel Studios,,,"With the world now aware of his dual life as the armored superhero Iron Man, billionaire inventor Tony Stark faces pressure from the government, the press and the public to share his technology with the military. Unwilling to let go of his invention, Stark, with Pepper Potts and James 'Rhodey' Rhodes at his side, must forge new alliances – and confront powerful enemies.",12,63,2010,4,28,Robert Downey Jr.,Gwyneth Paltrow,Don Cheadle,Scarlett Johansson,Sam Rockwell,Sarah Finn,,Jon Favreau,Kevin Feige,Justin Theroux,billionaire inventor tony stark faces pressure,must forge new alliances –,armored superhero iron man
Captain America: The Winter Soldier,170000000,259746958,714401889,100402,/5TQ6YDmymBpnF005OyoB7ohZps9.jpg,2014-03-20,136.0,In heroes we trust.,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Marvel Studios,,,"After the cataclysmic events in New York with The Avengers, Steve Rogers, aka Captain America is living quietly in Washington, D.C. and trying to adjust to the modern world. But when a S.H.I.E.L.D. colleague comes under attack, Steve becomes embroiled in a web of intrigue that threatens to put the world at risk. Joining forces with the Black Widow, Captain America struggles to expose the ever-widening conspiracy while fighting off professional assassins sent to silence him at every turn. When the full scope of the villainous plot is revealed, Captain America and the Black Widow enlist the help of a new ally, the Falcon. However, they soon find themselves up against an unexpected and formidable enemy—the Winter Soldier.",4,118,2014,3,20,Chris Evans,Samuel L. Jackson,Scarlett Johansson,Robert Redford,Sebastian Stan,Sarah Finn,Henry Jackman,Anthony Russo,Kevin Feige,Christopher Markus,professional assassins sent,formidable enemy —,steve becomes embroiled
Dawn of the Planet of the Apes,170000000,208545589,710644566,119450,/2EUAUIu5lHFlkj5FRryohlH6CRO.jpg,2014-06-26,130.0,One last chance for peace.,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,TSG Entertainment,Chernin Entertainment,Ingenious Media,"A group of scientists in San Francisco struggle to stay alive in the aftermath of a plague that is wiping out humanity, while Caesar tries to maintain dominance over his community of intelligent apes.",5,34,2014,6,26,Andy Serkis,Jason Clarke,Gary Oldman,Keri Russell,Toby Kebbell,Debra Zane,Michael Giacchino,Matt Reeves,Rick Jaffa,,san francisco struggle,stay alive,maintain dominance
The Polar Express,170000000,187224605,311365187,5255,/2NETsNUxcfBdKtq3W5YbT9O03Ak.jpg,2004-11-10,100.0,This holiday season... believe.,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Golden Mean,Playtone,ImageMovers,"When a doubting young boy takes an extraordinary train ride to the North Pole, he embarks on a journey of self-discovery that shows him that the wonder of life never fades for those who believe.",4,35,2004,11,10,Tom Hanks,Michael Jeter,Nona Gaye,Peter Scolari,Eddie Deezen,Victoria Burrows,Alan Silvestri,Robert Zemeckis,Robert Zemeckis,Robert Zemeckis,doubting young boy takes,life never fades,extraordinary train ride
Snow White and the Huntsman,170000000,155136755,401021746,58595,/40iabcM7KQLJzmO8yGm8AvUbxZR.jpg,2012-05-30,127.0,The Fairytale is Over,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,Universal Pictures,Roth Films,,"After the Evil Queen marries the King, she performs a violent coup in which the King is murdered and his daughter, Snow White, is taken captive. Almost a decade later, a grown Snow White is still in the clutches of the Queen. In order to obtain immortality, The Evil Queen needs the heart of Snow White. After Snow escapes the castle, the Queen sends the Huntsman to find her in the Dark Forest.",4,73,2012,5,30,Kristen Stewart,Chris Hemsworth,Charlize Theron,Sam Claflin,Ian McShane,Lucy Bevan,James Newton Howard,Rupert Sanders,Sam Mercer,John Lee Hancock,evil queen needs,evil queen marries,grown snow white
Terminator 3: Rise of the Machines,170000000,150358296,433058296,296,/lz4xYdF1n09lyiCfZWtWT44SZiG.jpg,2003-07-02,109.0,The Machines Will Rise.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,Columbia Pictures,Intermedia Films,C-2 Pictures,"It's been 10 years since John Connor saved Earth from Judgment Day, and he's now living under the radar, steering clear of using anything Skynet can trace. That is, until he encounters T-X, a robotic assassin ordered to finish what T-1000 started. Good thing Connor's former nemesis, the Terminator, is back to aid the now-adult Connor … just like he promised.",4,61,2003,7,2,Arnold Schwarzenegger,Nick Stahl,Claire Danes,Kristanna Loken,David Andrews,Sarah Finn,Marco Beltrami,Jonathan Mostow,Mario Kassar,John D. Brancato,10 years since john connor saved earth,good thing connor,adult connor …
Van Helsing,170000000,120150546,300150546,7131,/s2OPT5CZsZBQYAIlO9Mv4AimHvV.jpg,2004-05-05,132.0,The One Name They All Fear.,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Universal Pictures,Stillking Films,"Sommers Company, The",Famed monster slayer Gabriel Van Helsing is dispatched to Transylvania to assist the last of the Valerious bloodline in defeating Count Dracula. Anna Valerious reveals that Dracula has formed an unholy alliance with Dr. Frankenstein's monster and is hell-bent on exacting a centuries-old curse on her family.,6,47,2004,5,5,Hugh Jackman,Kate Beckinsale,Richard Roxburgh,David Wenham,Shuler Hensley,Ellen Lewis,Alan Silvestri,Stephen Sommers,Stephen Sommers,,famed monster slayer gabriel van helsing,anna valerious reveals,defeating count dracula
Tomorrowland,170000000,93436322,206627518,158852,/69Cz9VNQZy39fUE2g0Ggth6SBTM.jpg,2015-05-19,130.0,Imagine a world where nothing is impossible.,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,Babieka,Walt Disney Pictures,A113,"Bound by a shared destiny, a bright, optimistic teen bursting with scientific curiosity and a former boy-genius inventor jaded by disillusionment embark on a danger-filled mission to unearth the secrets of an enigmatic place somewhere in time and space that exists in their collective memory as ""Tomorrowland.""",7,47,2015,5,19,Britt Robertson,George Clooney,Raffey Cassidy,Thomas Robinson,Hugh Laurie,April Webster,Michael Giacchino,Brad Bird,Brad Bird,Brad Bird,optimistic teen bursting,genius inventor jaded,enigmatic place somewhere
Shrek Forever After,165000000,238736787,756244673,10192,/enqVwbUu6OX5LHq0fuk7sLT35zy.jpg,2010-05-16,93.0,It ain't Ogre... Til it's Ogre,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,DreamWorks Animation,Paramount,,"A bored and domesticated Shrek pacts with deal-maker Rumpelstiltskin to get back to feeling like a real ogre again, but when he's duped and sent to a twisted version of Far Far Away—where Rumpelstiltskin is king, ogres are hunted, and he and Fiona have never met—he sets out to restore his world and reclaim his true love.",6,57,2010,5,16,Mike Myers,Eddie Murphy,Cameron Diaz,Antonio Banderas,Julie Andrews,Leslee Feldman,Harry Gregson-Williams,Mike Mitchell,Teresa Cheng,,far far away —,never met —,domesticated shrek pacts
Doctor Strange,165000000,232641920,676404566,14830,/3Me8mLOOizc3xElFi8jIoUpw1JM.jpg,2007-08-14,76.0,Doctor Strange: The Sorcerer Supreme,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Marvel Animation,MLG Productions 4,,"Dr. Stephen Strange embarks on a wondrous journey to the heights of a Tibetan mountain, where he seeks healing at the feet of the mysterious Ancient One.",5,27,2007,8,14,Bryce Johnson,Paul Nakauchi,Kevin Michael Richardson,Michael Yama,Susan Spano,,Guy Michelmore,Dick Sebast,Avi Arad,Greg Johnson,stephen strange embarks,mysterious ancient one,wondrous journey
Big Hero 6,165000000,222527828,652127828,177572,/9gLu47Zw5ertuFTZaxXOvNfy78T.jpg,2014-10-24,102.0,,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Walt Disney Animation Studios,Walt Disney Pictures,,"The special bond that develops between plus-sized inflatable robot Baymax, and prodigy Hiro Hamada, who team up with a group of friends to form a band of high-tech heroes.",1,29,2014,10,24,Scott Adsit,Ryan Potter,Daniel Henney,T.J. Miller,Jamie Chung,Jamie Sparer Roberts,Henry Jackman,Don Hall,Roy Conli,Daniel Gerson,sized inflatable robot baymax,prodigy hiro hamada,tech heroes
How to Train Your Dragon,165000000,217581232,494870992,10191,/hIXX3IRFy0InUOmYeWjvhCAgQNj.jpg,2010-03-10,100.0,One adventure will change two worlds,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,DreamWorks Animation,Paramount,,"As the son of a Viking leader on the cusp of manhood, shy Hiccup Horrendous Haddock III faces a rite of passage: he must kill a dragon to prove his warrior mettle. But after downing a feared dragon, he realizes that he no longer wants to destroy it, and instead befriends the beast – which he names Toothless – much to the chagrin of his warrior father",6,67,2010,3,10,Jay Baruchel,Gerard Butler,Craig Ferguson,America Ferrera,Jonah Hill,Leslee Feldman,John Powell,Chris Sanders,Bonnie Arnold,Chris Sanders,shy hiccup horrendous haddock iii faces,names toothless – much,beast –
Wreck-It Ralph,165000000,189412677,496511521,82690,/emJc3atQsh2vnTgogQiyDIHKKPB.jpg,2012-11-01,101.0,The story of a regular guy just looking for a little wreck-ognition.,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Walt Disney Animation Studios,,,"Wreck-It Ralph is the 9-foot-tall, 643-pound villain of an arcade video game named Fix-It Felix Jr., in which the game's titular hero fixes buildings that Ralph destroys. Wanting to prove he can be a good guy and not just a villain, Ralph escapes his game and lands in Hero's Duty, a first-person shooter where he helps the game's hero battle against alien invaders. He later enters Sugar Rush, a kart racing game set on tracks made of candies, cookies and other sweets. There, Ralph meets Vanellope von Schweetz who has learned that her game is faced with a dire threat that could affect the entire arcade, and one that Ralph may have inadvertently started.",12,114,2012,11,1,John C. Reilly,Sarah Silverman,Jack McBrayer,Jane Lynch,Alan Tudyk,Jamie Sparer Roberts,Henry Jackman,Rich Moore,Clark Spencer,Phil Johnston,ralph meets vanellope von schweetz,arcade video game named fix,later enters sugar rush
Interstellar,165000000,188017894,665270476,157336,/nBNZadXqJSdt05SHLqgT0HuC5Gm.jpg,2014-11-05,169.0,Mankind was born on Earth. It was never meant to die here.,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,Legendary Entertainment,Syncopy,Lynda Obst Productions,Interstellar chronicles the adventures of a group of explorers who make use of a newly discovered wormhole to surpass the limitations on human space travel and conquer the vast distances involved in an interstellar voyage.,12,35,2014,11,5,Matthew McConaughey,Jessica Chastain,Anne Hathaway,Michael Caine,Casey Affleck,John Papsidera,Hans Zimmer,Christopher Nolan,Christopher Nolan,,vast distances involved,newly discovered wormhole,human space travel
Independence Day: Resurgence,165000000,103144286,384169424,47933,/5CHJs479xWnm3zMDOl94VkKS7MZ.jpg,2016-06-22,120.0,We had twenty years to prepare. So did they.,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Centropolis Entertainment,Stereo D,TSG Entertainment,"We always knew they were coming back. Using recovered alien technology, the nations of Earth have collaborated on an immense defense program to protect the planet. But nothing can prepare us for the aliens’ advanced and unprecedented force. Only the ingenuity of a few brave men and women can bring our world back from the brink of extinction.",9,58,2016,6,22,Liam Hemsworth,Jeff Goldblum,Bill Pullman,Maika Monroe,Sela Ward,John Papsidera,Harald Kloser,Roland Emmerich,Harald Kloser,Roland Emmerich,using recovered alien technology,immense defense program,aliens ’ advanced
Aquaman,160000000,335061807,1146894640,65584,/q2lolQIVPWu2Dv76GrAZ0M693J9.jpg,2006-07-24,42.0,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Warner Bros. Entertainment,,,A young twenty-something diver living in the Florida Keys discovers he has the power to breathe underwater.,1,17,2006,7,24,Justin Hartley,Denise Quiñones,Ving Rhames,Adrianne Palicki,Corey Sevier,,,Greg Beeman,,,something diver living,florida keys discovers,young twenty
Shrek the Third,160000000,322719944,807330936,810,/lA17Mlz8hXVZsW5Y3WuUa8KPilQ.jpg,2007-05-17,93.0,Who's ready for Thirds?,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,DreamWorks Animation,Pacific Data Images,Paramount,"The King of Far Far Away has died and Shrek and Fiona are to become King & Queen. However, Shrek wants to return to his cozy swamp and live in peace and quiet, so when he finds out there is another heir to the throne, they set off to bring him back to rule the kingdom.",4,56,2007,5,17,Mike Myers,Eddie Murphy,Cameron Diaz,Julie Andrews,Antonio Banderas,,Harry Gregson-Williams,Chris Miller,Aron Warner,Jeffrey Price,far far away,cozy swamp,another heir
Inception,160000000,292576195,835524642,27205,/qmDpIHrmpJINaRKAfWQfftjCdyi.jpg,2010-07-15,148.0,Your mind is the scene of the crime.,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Legendary Entertainment,Syncopy,Warner Bros. Pictures,"Cobb, a skilled thief who commits corporate espionage by infiltrating the subconscious of his targets is offered a chance to regain his old life as payment for a task considered to be impossible: ""inception"", the implantation of another person's idea into a target's subconscious.",8,44,2010,7,15,Leonardo DiCaprio,Joseph Gordon-Levitt,Ellen Page,Tom Hardy,Ken Watanabe,John Papsidera,Hans Zimmer,Christopher Nolan,Christopher Nolan,,commits corporate espionage,task considered,skilled thief
The Hunger Games: Mockingjay - Part 2,160000000,281723902,648986787,131634,/w93GAiq860UjmgR6tU9h2T24vaV.jpg,2015-11-18,137.0,The fire will burn forever.,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Studio Babelsberg,Lionsgate,Color Force,"With the nation of Panem in a full scale war, Katniss confronts President Snow in the final showdown. Teamed with a group of her closest friends – including Gale, Finnick, and Peeta – Katniss goes off on a mission with the unit from District 13 as they risk their lives to stage an assassination attempt on President Snow who has become increasingly obsessed with destroying her. The mortal traps, enemies, and moral choices that await Katniss will challenge her more than any arena she faced in The Hunger Games.",5,89,2015,11,18,Jennifer Lawrence,Josh Hutcherson,Liam Hemsworth,Woody Harrelson,Elizabeth Banks,Debra Zane,James Newton Howard,Francis Lawrence,Jon Kilik,Danny Strong,closest friends – including gale,peeta – katniss goes,katniss confronts president snow
X-Men: First Class,160000000,146408305,355408305,49538,/7SSm7BfzFoVzmd6fCDccj7qRxc8.jpg,2011-06-01,132.0,Witness the moment that will change our world.,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Ingenious Media,The Donners' Company,Dune Entertainment,"Before Charles Xavier and Erik Lensherr took the names Professor X and Magneto, they were two young men discovering their powers for the first time. Before they were arch-enemies, they were closest of friends, working together with other mutants (some familiar, some new), to stop the greatest threat the world has ever known.",8,53,2011,6,1,James McAvoy,Michael Fassbender,Jennifer Lawrence,Kevin Bacon,Rose Byrne,Lucinda Syson,,Matthew Vaughn,Lauren Shuler Donner,,two young men discovering,names professor x,erik lensherr took
The Curious Case of Benjamin Button,160000000,127509326,329631958,4922,/gjMR102u5hPdIAWX7O2rim8ZWgA.jpg,2008-12-25,166.0,"Life isn't measured in minutes, but in moments.",0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,Paramount,Warner Bros. Pictures,The Kennedy/Marshall Company,"Born under unusual circumstances, Benjamin Button springs into being as an elderly man in a New Orleans nursing home and ages in reverse. Twelve years after his birth, he meets Daisy, a child who flits in and out of his life as she grows up to be a dancer. Though he has all sorts of unusual adventures over the course of his life, it is his relationship with Daisy, and the hope that they will come together at the right time, that drives Benjamin forward.",8,85,2008,12,25,Cate Blanchett,Brad Pitt,Tilda Swinton,Julia Ormond,Elle Fanning,Laray Mayfield,Alexandre Desplat,David Fincher,Kathleen Kennedy,Eric Roth,new orleans nursing home,drives benjamin forward,benjamin button springs
The Sorcerer's Apprentice,160000000,63150991,217986320,27022,/ZNSrRpdJ6FjMy4Iu6JpRTJ5Q87.jpg,2010-07-13,109.0,It's The Coolest Job Ever.,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Junction Entertainment,Walt Disney Pictures,Jerry Bruckheimer Films,"Balthazar Blake is a master sorcerer in modern-day Manhattan trying to defend the city from his arch-nemesis, Maxim Horvath. Balthazar can't do it alone, so he recruits Dave Stutler, a seemingly average guy who demonstrates hidden potential, as his reluctant protégé. The sorcerer gives his unwilling accomplice a crash course in the art and science of magic, and together, these unlikely partners work to stop the forces of darkness.",5,69,2010,7,13,Nicolas Cage,Jay Baruchel,Monica Bellucci,Alfred Molina,Teresa Palmer,,Trevor Rabin,Jon Turteltaub,,Doug Miro,unlikely partners work,seemingly average guy,recruits dave stutler
Poseidon,160000000,60674817,181674817,503,/yeiCuwMSHLmf7NoYzxiEAjkJHkg.jpg,2006-05-12,99.0,Mayday,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Virtual Studios,Radiant Productions,Next Entertainment,"A packed cruise ship traveling the Atlantic is hit and overturned by a massive wave, compelling the passengers to begin a dramatic fight for their lives.",1,26,2006,5,12,Kurt Russell,Richard Dreyfuss,Josh Lucas,Jacinda Barrett,Emmy Rossum,Janet Hirshenson,Klaus Badelt,Wolfgang Petersen,Todd Arnow,Mark Protosevich,packed cruise ship traveling,massive wave,dramatic fight
Warcraft,160000000,47365290,438899824,68735,/ckrTPz6FZ35L5ybjqvkLWzzSLO7.jpg,2016-05-25,123.0,Two worlds. One home.,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Legendary Entertainment,Universal Pictures,Atlas Entertainment,"The peaceful realm of Azeroth stands on the brink of war as its civilization faces a fearsome race of invaders: orc warriors fleeing their dying home to colonize another. As a portal opens to connect the two worlds, one army faces destruction and the other faces extinction. From opposing sides, two heroes are set on a collision course that will decide the fate of their family, their people, and their home.",4,71,2016,5,25,Paula Patton,Travis Fimmel,Ben Foster,Robert Kazinsky,Dominic Cooper,Mary Vernieu,Ramin Djawadi,Duncan Jones,Charles Roven,Charles Leavitt,one army faces destruction,orc warriors fleeing,faces extinction
