title,Production_Budget,Domestic_Gross,Worldwide_Gross,id,poster_path,release_date,runtime,tagline,Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Mystery,Romance,Science_Fiction,TV_Movie,Thriller,War,Western,prod_company_1,prod_company_2,prod_company_3,overview,tagline_wordcount,synopsis_wordcount,release_year,release_month,release_day,cast_1,cast_2,cast_3,cast_4,cast_5,casting,composer,director,producer,screenplay,keyword_1,keyword_2,keyword_3
Echo Dr.,100000,0,0,270554,/4X1Qeju1kSfe2LQal9zSfMMxdBe.jpg,2013-11-08,85.0,To Serve & Terminate,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,30 Something Productions,,,"When their home security system malfunctions, a family struggles to survive an attack against a state of the art patrol guard that believes they are intruders.",4,26,2013,11,8,Johnathan Hurley,Jordan Savage,Dane Bowman,Claire Gordon-Harper,,,,Patrick Ryan Sims,Douglas Elford-Argent,,home security system malfunctions,art patrol guard,family struggles
Tiger Orange,100000,0,0,294086,/rgxUOHjpWTBliOmqBHkVXUxUKqr.jpg,2014-07-26,75.0,Do We Stand Out or Do We Fit In?,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,"In the small Central California town where they grew up, two estranged gay brothers struggle to reconnect after the recent death of their father.",9,24,2014,7,26,Mark Strano,Frankie Valenti,Johnny Hazzard,Darryl Stephens,Gregory Marcel,,,Wade Gasque,,,two estranged gay brothers struggle,small central california town,recent death
The Foot Fist Way,79000,234286,234286,13484,/mkJxYSX6SbsS6CD8EqY86VcxG5P.jpg,2006-06-24,83.0,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Gary Sanchez Productions,,,"An inept taekwondo instructor struggles with marital troubles and an unhealthy obsession with fellow taekwondo enthusiast Chuck ""The Truck"" Williams.",1,20,2006,6,24,Danny McBride,Ben Best,Mary Jane Bostic,Jody Hill,Collette Wolfe,,,Jody Hill,,,inept taekwondo instructor struggles,fellow taekwondo enthusiast chuck,unhealthy obsession
Dawn of the Crescent Moon,75000,8799,8799,326576,/czdnz0pOAI8BVcEPVqlYAAv60IR.jpg,2014-04-05,95.0,The past is present.,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,,,,"A group of college students travel to a small Texas town to research the Legend of Blood Lake, an obscure folktale forged by events surrounding the horrible massacre of a Comanche village.",4,32,2014,4,5,Barry Corbin,Brooke Coleman,Kurt Cole,Brandon Smith,Alan Pietruszewski,,,Kirk Loudon,Kevin B. Coleman,,small texas town,obscure folktale forged,college students travel
Happy Christmas,70000,30312,30312,244534,/20IpUbl1ZrxjW32KGqT00WtFiiQ.jpg,2014-06-26,82.0,Family is the gift that keeps on taking.,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Lucky Coffee Productions,,,"After a breakup with her boyfriend, a young woman moves in with her older brother, his wife, and their 2-year-old son.",8,21,2014,6,26,Anna Kendrick,Melanie Lynskey,Mark Webber,Lena Dunham,Joe Swanberg,,,Joe Swanberg,Joe Swanberg,Joe Swanberg,young woman moves,older brother,old son
Absentia,70000,0,8555,74777,/pj7aP0kN787m6uYT03fmoT08dwW.jpg,2011-03-03,92.0,There are fates worse than death.,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,FallBack Plan Productions,Blue Dot Productions,,"Tricia's husband Daniel has been missing for seven years. Her younger sister Callie comes to live with her as the pressure mounts to finally declare him 'dead in absentia.' As Tricia sifts through the wreckage and tries to move on with her life, Callie finds herself drawn to an ominous tunnel near the house. As she begins to link it to other mysterious disappearances, it becomes clear that Daniel's presumed death might be anything but 'natural.' The ancient force at work in the tunnel might have set its sights on Callie and Tricia... and Daniel might be suffering a fate far worse than death in its grasp.",6,107,2011,3,3,Katie Parker,Courtney Bell,Morgan Peter Brown,Dave Levine,Justin Gordon,,Ryan David Leack,Mike Flanagan,Morgan Peter Brown,,younger sister callie comes,fate far worse,ominous tunnel near
Super Size Me,65000,11529368,22233808,9372,/9J2cYFtYRplFnHgn8V5ntCZEHut.jpg,2004-01-17,100.0,The first ever reality-based movie ... everything begins and ends in 30 days!,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Kathbur Pictures,Samuel Goldwyn Films,The Con,"Morgan Spurlock subjects himself to a diet based only on McDonald's fast food three times a day for thirty days without exercising to try to prove why so many Americans are fat or obese. He submits himself to a complete check-up by three doctors, comparing his weight along the way, resulting in a scary conclusion.",13,55,2004,1,17,Morgan Spurlock,Daryl Isaacs,Lisa Ganjhu,Stephen Siegel,Bridget Bennett,,,Morgan Spurlock,Morgan Spurlock,,thirty days without exercising,fast food three times,morgan spurlock subjects
Supporting Characters,60000,4917,4917,139998,/fzrzmklarj56jjNcUpRXwW2htEb.jpg,2012-01-23,87.0,,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,Two New York film editors balance their personal relationships while reworking a movie in crisis.,1,15,2012,1,23,Alex Karpovsky,Tarik Lowe,Arielle Kebbel,Melonie Diaz,Kevin Corrigan,Stephanie Holbrook,,Daniel Schechter,,,two new york film editors balance,personal relationships,reworking
The FP,60000,0,0,85860,/nmo8R1FpBEsC80qYOaXtx2vMrSa.jpg,2011-03-13,82.0,An Ancient Game Becomes A Deadly Sport.,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Drafthouse Films,,,"Two rival gangs fight for control of Frazier Park -- a deadly arena in competitive dance-fight video game ""Beat-Beat Revolution.""",7,20,2011,3,13,Jason Trost,Lee Valmassy,Art Hsu,Caitlyn Folley,Brandon Barrera,,,Brandon Trost,,,two rival gangs fight,fight video game,frazier park --
Turbo Kid,60000,0,0,310135,/oImU0aMyeSHRwDw0bHizLhixF9L.jpg,2015-08-14,95.0,This is the future... This is the year 1997.,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Timpson Films,EMA Films,Epic Pictures Group,"In a post-apocalyptic wasteland, an orphaned teen must battle a ruthless warlord to save the girl of his dreams.",9,19,2015,8,14,Munro Chambers,Laurence Leboeuf,Michael Ironside,Aaron Jeffery,Edwin Wright,,Jean-Philippe Bernier,François Simard,Anne-Marie Gélinas,,orphaned teen must battle,ruthless warlord,apocalyptic wasteland
Hayride,60000,0,0,193603,/cf1KFMaikSLpxSwFcamDW6DBW7B.jpg,2012-10-13,93.0,Southern Fried Horror,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,,,,"A college student returning home for Halloween is forced to face his childhood fears when an escaped killer takes refuge in his family's ""Haunted Hayride"".",3,25,2012,10,13,Richard Tyson,Sherri Eakin,Jeremy Ivy,Jeremy Sande,Corlandos Scott ,,,Terron R. Parsons,,,escaped killer takes refuge,college student returning home,"haunted hayride ""."
The Dirties,55000,0,0,159770,/yQPyYKkfPmVqCr7dCCLrRmuUgKu.jpg,2013-10-04,83.0,We're just here for the bad guys.,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Zapruder Films,XYZ Films,,The line between reality and fiction starts to blur when two best friends start making a movie about getting revenge on bullies.,7,22,2013,10,4,Matt Johnson,Owen Williams,Krista Madison,Shailene Garnett,Jay McCarroll,Ashley Bowes,,Matt Johnson,Matt Johnson,,two best friends start making,getting revenge,fiction starts
